Name of Injury,Location,Symptoms,Severity,Treatment Overview,Specific treatment
Minor bleeding,,"Bleeding,small wound, small cut on skin",Minor,"Wash and clean the wound with alcoholic wipes and aniseptic cream/solution. Afterwards, cover it with a plaster","
1. Wash wound with clean water
2. Dry the wound
3. Use alcoholic wipes to clean the wound
4. Apply antiseptic cream/solution on the wound to prevent infection
5. Cover wound with a plaster, gauze, or melolin depending on size/extent of injury (melolin for heavier bleeding)

For plasters (if it is on toe/finger)
Criss-cross around the affected finger.
"
Nosebleed,Nose,Blood trickling out of nose,Minor,"Pinch the bridge of the nose

Lean forward for 10 mins or until the bleeding stops","1. Sit down
2. Tilt head forward
3. Breathe through the mouth
4. Pinch soft part of nose for 10 mins
5. Try not to speak, swallow, or cough
6. After 10 minutes, release pinching of nose and check if nosebleed still occurs
7. If bleeding continues, repeat steps 4-6
8. If bleeding still continues, call 995"
Contusion ,,"Bruising, blue green or black skin","Minor,Moderate","Allow casualty to rest

Stretch and massage affected area

Apply ice to injured area and compress
",NA
Incision or Laceration,,"Blood is present, excessive bleeding, deep cut",Moderate,"Wash wound. Cover it with roller bandage.
Advised to see a doctor",Steps for pressure roller
Scalp Bleeding,Scalp,"Blood is present, excessive bleeding, open wound","Moderate,Life-threatening","Cover it with roller bandage.
Advised to see a doctor
If unconcious, advised to call 995",
Forehead Bleeding,Forehead,"Blood is present, excessive bleeding, open wound","Moderate,Life-threatening","Cover it with roller bandage.
Advised to see a doctor
If unconcious, advised to call 995",
Joint Bleeding,Joint area,"Blood is present, excessive bleeding, open wound",Moderate,"Wash wound. Cover it with roller bandage.
Advised to see a doctor",
Palm bleeding,"Palm, hand","Blood is present, excessive bleeding, open wound",Moderate,"Wash wound. Cover it with roller bandage.
Advised to see a doctor",
Amputation,,"Blood is present, excessive bleeding, open wound, body part detached from body","Moderate,Life-threatening","Preserve body part, cover the bleeding with a bandage
Call 995","1) Call 995
2) Place body part in plastic bag with ice pack
3) Label the plastic bag with body part name, persons name, date and time
4) Place it in a cold environment till help arrives
5) Cover the bleeding with a bandage
6) Keep affected area above heart level and keep still."
Embedded object,,"Blood is present, excessive bleeding, open wound, object stuck in wound",Moderate,"Apply pressure to areas around wound 
Call 995
Do not attempt to remove object",
Superficial burn,,Red swollen skin at the burn site,Minor,"Remove stress on the affected area and wash it under cool water. Finally, cover it with a bandage","1. Remove constrictors, e.g. watches, at swollen area
2. Cool burnt area under tepid water for 10 min
3. Cover affected area with sterile dressing"
2nd degree burn,,"Burnt area is reddened,Blisters",Moderate,,
3rd degree burn,,"waxy and pale burnt area or skin is charred and blackened
",Life-threatening,,
